MarID,XMeters,YMeters,FishID,XMetFish,YMetFish,TotalArea,WaterArea,AreaMinWat,TotalLic,TotalCrime,CFS1,CFS2,CFS1Neigh,CFS2Neigh
801064,399587.8246,131013.5966,103,399363.7065,131126.928,6441.30281537122,0,6441.30281537122,0,4,3,2,38,2
805031,399346.4553,130896.6972,103,399363.7065,131126.928,15937.7602274761,0,15937.7602274761,0,0,0,0,0,0
806647,399177.8143,131262.3908,103,399363.7065,131126.928,16915.6620138799,0,16915.6620138799,0,0,0,0,0,0
807416,399556.8429,131226.3523,103,399363.7065,131126.928,5680.73023907063,0,5680.73023907063,0,0,9,0,54,4
807433,399512.6109,131167.4629,103,399363.7065,131126.928,8632.27395397341,0,8632.27395397341,0,3,5,1,22,2
808780,399522.1644,131061.4942,103,399363.7065,131126.928,8831.70420394282,0,8831.70420394282,0,0,1,0,11,4
810505,399258.4436,130956.1171,103,399363.7065,131126.928,16780.4006774513,0,16780.4006774513,0,0,0,0,0,0
812243,399613.6999,131109.9213,103,399363.7065,131126.928,9222.77935495561,0,9222.77935495561,0,8,5,1,81,6
812572,399562.0858,131362.1243,103,399363.7065,131126.928,52608.4423778664,0,52608.4423778664,0,2,3,1,59,2
902149,399597.8,131250.5501,103,399363.7065,131126.928,12798.2181417761,0,12798.2181417761,0,0,1,0,64,3
904916,399217.75,131348.43,103,399363.7065,131126.928,17938.5536128755,0,17938.5536128755,0,0,0,0,0,1
904917,399136.25,131177.12,103,399363.7065,131126.928,31105.4911047232,0,31105.4911047232,0,0,0,0,0,0
905115,399507.61,131220.4001,103,399363.7065,131126.928,16351.7073890888,0,16351.7073890888,0,0,3,0,41,3
905116,399517.44,131114.5101,103,399363.7065,131126.928,9286.62870838211,0,9286.62870838211,0,1,1,1,15,2
905361,399527.02,131008.4901,103,399363.7065,131126.928,14599.8350337501,0,14599.8350337501,0,0,0,0,15,4
913174,399289.2823,131016.5804,103,399363.7065,131126.928,24688.710080812,0,24688.710080812,0,0,0,0,5,1
913332,399295.4796,131200.4026,103,399363.7065,131126.928,31055.3849349115,0,31055.3849349115,0,1,0,0,9,3
800804,400040.5989,131076.1428,104,399863.7065,131126.928,6631.48159234824,0,6631.48159234824,0,0,2,1,70,20
801465,399674.4278,131191.5996,104,399863.7065,131126.928,14074.2629818492,0,14074.2629818492,0,12,0,1,75,4
802247,399672.2867,131031.1777,104,399863.7065,131126.928,5350.52527955192,0,5350.52527955192,0,0,19,0,100,10
804001,399910.0725,131120.977,104,399863.7065,131126.928,11051.9296995717,0,11051.9296995717,0,15,15,3,64,7
805435,400080.434,131128.4908,104,399863.7065,131126.928,14613.0648748688,0,14613.0648748688,0,0,5,0,28,15
805928,399943.3468,131197.2636,104,399863.7065,131126.928,31910.9353062613,0,31910.9353062613,0,5,4,4,65,6
808686,399763.9506,130906.6743,104,399863.7065,131126.928,13938.2924284637,0,13938.2924284637,0,13,19,4,117,17
808745,400060.9895,130892.3466,104,399863.7065,131126.928,9797.66152518079,0,9797.66152518079,0,3,3,2,112,16
809508,399855.0531,131051.5673,104,399863.7065,131126.928,11083.1571718011,0,11083.1571718011,0,10,16,0,70,13
