Safety_Violent,Safety_Prop,Gender,Race,District,Income,Edu,Age,YearsDallas,OwnHome
4,4,2,4,11,3,3,1,1,2
4,3,2,3,11,4,3,4,60,1
1,1,2,3,4,1,2,5,45,1
2,2,2,2,9,2,3,1,22,1
2,2,2,3,5,2,2,2,38,1
2,2,2,1,4,9,2,3,40,1
3,3,1,3,5,1,3,1,25,1
3,2,1,2,11,5,3,4,28,1
2,4,1,3,11,4,2,4,2,2
2,2,1,1,5,5,2,3,51,1
4,3,1,2,14,5,3,2,25,2
5,4,2,3,11,5,1,1,4,1
9,9,1,1,4,1,2,4,999,2
2,2,2,3,9,4,3,1,5,1
3,3,2,2,14,3,3,2,40,1
4,4,2,2,5,2,2,5,85,1
3,3,2,2,1,5,3,1,999,1
1,1,2,1,4,2,3,3,30,2
1,1,1,3,4,3,3,5,33,1
3,4,2,1,4,2,2,1,34,1
4,3,2,2,1,2,3,5,46,1
3,3,2,3,9,2,2,1,17,2
1,1,2,3,5,1,2,5,73,2
4,4,2,3,4,2,3,1,26,1
9,9,1,2,11,3,3,4,28,1
2,2,2,2,12,1,2,3,26,2
2,2,2,3,12,3,3,1,12,1
3,3,1,1,12,3,3,5,33,2
2,1,1,1,5,1,2,5,87,2
1,1,2,3,11,2,2,3,25,2
4,5,2,3,11,2,2,1,10,2
3,3,1,2,12,9,3,4,25,2
2,4,1,3,2,1,1,1,18,2
1,1,1,3,1,1,2,3,35,1
3,3,1,2,12,5,3,3,53,1
3,1,1,3,5,2,2,1,14,1
2,2,2,1,4,4,2,5,84,1
2,2,2,1,7,3,1,4,60,2
3,3,1,3,1,2,2,1,12,2
3,3,1,3,1,2,3,1,29,2
2,3,2,1,4,1,2,3,50,1
2,4,2,3,1,9,2,3,52,2
1,1,2,1,5,9,2,4,46,1
2,2,2,3,6,2,9,5,73,2
4,4,2,3,4,2,2,1,17,2
4,3,1,2,11,9,3,5,46,1
9,3,1,2,12,5,3,1,1,2
2,3,2,3,1,4,3,5,53,2
4,3,2,3,1,2,1,4,50,1
3,3,2,3,6,9,3,1,19,2
2,2,2,3,1,1,3,1,25,2
1,1,1,3,4,1,1,5,50,1
2,2,2,2,5,2,2,5,28,2
2,2,2,1,6,2,2,3,51,1
3,1,2,2,5,3,3,3,48,1
1,1,2,3,5,2,2,1,32,1
3,3,2,3,12,5,3,3,30,1
5,4,1,3,12,5,3,1,24,1
3,3,2,2,12,9,3,4,63,1
2,3,1,3,12,9,3,3,48,1
4,4,2,3,12,3,3,3,40,2
3,2,2,2,12,5,3,1,10,1
3,3,1,3,12,4,3,2,30,1
4,4,2,2,12,5,3,3,24,1
9,9,1,1,12,2,1,1,30,2
3,2,2,2,12,5,3,1,12,2
2,2,2,4,12,5,3,1,10,1
3,3,1,3,1,3,3,2,40,1
4,3,1,2,12,3,3,1,20,2
3,3,2,3,1,4,2,9,45,1
2,2,2,3,8,9,9,5,61,2
2,2,2,1,6,1,2,5,75,2
2,2,2,1,8,9,2,4,57,2
1,1,1,4,2,9,9,3,50,2
3,3,1,3,12,4,3,1,16,2
9,3,1,2,12,5,3,3,30,2
3,2,2,4,12,1,3,3,37,2
4,4,2,3,12,4,3,3,8,2
2,4,2,1,2,2,3,3,30,2
5,5,1,3,14,3,3,1,4,2
3,3,2,2,14,5,3,3,40,2
3,3,1,1,8,9,3,4,48,2
1,3,2,1,1,1,9,5,72,1
3,2,1,3,1,1,1,4,63,1
1,1,2,1,14,1,1,1,28,2
4,3,1,3,1,2,1,4,40,1
2,2,1,4,1,3,3,3,50,1
9,3,2,1,8,2,2,4,999,2
3,3,1,1,4,1,2,5,50,2
3,2,2,1,5,3,3,9,15,1
3,3,1,3,1,2,3,2,20,1
3,2,1,3,5,5,3,2,36,1
2,2,1,3,5,1,2,1,18,1
2,2,1,1,5,3,2,4,50,1
2,2,2,2,6,2,2,1,11,2
1,1,2,1,6,1,1,5,60,1
9,2,1,3,5,2,1,5,60,2
1,2,1,3,4,2,1,2,35,1
2,2,2,3,5,2,1,2,27,1
3,3,2,1,8,3,3,2,30,1
2,2,2,3,1,4,3,1,33,2
2,2,1,1,14,3,3,3,8,2
3,2,1,3,2,1,2,1,31,2
1,1,2,3,1,1,2,1,20,2
3,3,2,2,2,5,3,1,25,1
3,2,1,3,4,3,2,2,39,1
3,3,1,3,2,2,3,3,49,2
3,3,1,3,2,1,1,4,50,2
4,4,2,3,2,2,2,2,30,1
3,3,1,3,1,2,2,1,14,2
2,1,2,1,5,2,3,4,63,1
3,2,1,3,2,2,3,3,15,2
1,1,1,3,1,2,2,2,35,2
3,3,1,3,14,3,3,2,6,1
1,1,1,2,7,1,3,5,61,1
3,4,1,3,1,3,3,3,46,1
2,1,2,3,2,9,3,1,28,9
4,3,1,2,14,5,3,1,5,2
9,9,2,1,5,3,2,3,47,2
3,3,2,1,7,1,3,2,43,2
2,2,1,3,2,2,1,2,25,1
1,1,1,3,5,2,3,3,50,2
1,1,2,3,5,1,2,4,64,2
4,3,1,3,2,5,3,1,1,1
1,2,1,9,7,9,9,5,999,9
3,3,1,1,7,3,3,5,24,2
1,1,1,1,7,2,2,3,999,1
2,1,2,1,8,3,3,2,29,1
4,3,2,3,6,4,1,2,30,1
1,1,2,1,7,2,2,5,83,1
3,3,1,2,2,5,3,2,1,2
1,1,2,3,1,2,3,2,32,1
9,9,1,1,7,2,3,5,53,1
1,1,2,3,2,5,3,2,32,1
3,3,2,3,9,9,3,3,46,2
4,3,1,2,14,5,3,2,20,1
1,2,1,2,2,4,3,9,18,1
3,2,2,1,7,5,3,2,17,1
2,2,1,3,7,2,3,2,27,1
