Source,Target
20,1
3,2
2,3
18,4
6,5
5,6
7,6
21,6
6,7
21,7
10,8
14,8
15,8
21,8
17,9
8,10
18,10
20,10
21,10
22,11
16,12
17,13
8,14
16,14
8,15
20,15
21,15
12,16
14,16
9,17
13,17
4,18
10,18
20,18
21,19
1,20
10,20
15,20
18,20
21,20
6,21
7,21
8,21
10,21
15,21
19,21
20,21
11,22
